Name,Ranking,Friendliness,Rating,Flexibility,Ease,Affordability,Response Time
Google User,5.0,5.0,0.0,5.0,5.0,0.0,0.54
Tara Channel,1.0,1.0,0.0,1.0,1.0,0.0,0.54
olivia21,1.0,1.0,1.0,1.0,1.0,1.0,0.4
Erin Martin,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Mary Thacker,2.0,1.0,0.0,1.0,1.0,1.0,0.4
Sabrina Rice,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Tommy Bell,1.0,1.0,1.0,1.0,1.0,1.0,0.4
Elizabeth,5.0,5.0,0.0,5.0,5.0,5.0,0.4
Walt Hunt,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Shelby Wharton,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Ginger Hawkins,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Kirby Willcutt,5.0,5.0,0.0,5.0,5.0,5.0,0.4
Anna Baggett,4.0,4.0,0.0,4.0,4.0,4.0,0.4
Kathryn Larson,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Ashley Johnson,5.0,5.0,0.0,5.0,5.0,5.0,0.4
The Book Of Abby,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Dyale Harris,1.0,1.0,0.0,1.0,1.0,1.0,0.4
DL Seals,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Sidney Garner,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Patrick Williams,2.0,1.0,0.0,2.0,2.0,2.0,0.4
Anthony Gentry,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Gayle Crause,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Wayne Bittner,5.0,5.0,0.0,5.0,5.0,5.0,0.4
Faye,5.0,5.0,0.0,5.0,5.0,5.0,0.4
Guy Harris,5.0,5.0,0.0,5.0,5.0,5.0,0.4
Shea Faulkner,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Hayden H,4.0,4.0,0.0,4.0,4.0,4.0,0.4
Justyn Lamb Millar,5.0,5.0,0.0,5.0,5.0,5.0,0.4
Eric Dale,1.0,1.0,0.0,1.0,1.0,1.0,0.4
BaileyJ 239,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Kadarryl Simmons,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Leigh Anne Hall,5.0,5.0,0.0,5.0,5.0,5.0,0.4
Desiree Riley,5.0,5.0,0.0,5.0,5.0,5.0,0.4
John Thomas,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Madison Schuelly (Maddie),5.0,5.0,0.0,5.0,5.0,5.0,0.4
Aaron Moore,5.0,5.0,0.0,5.0,5.0,5.0,0.4
Allison B.,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Jessie Williams,5.0,5.0,0.0,5.0,5.0,5.0,0.4
Kaytlin Taylor,1.0,1.0,0.0,1.0,1.0,1.0,0.4
J Dobelstein,5.0,5.0,0.0,5.0,5.0,5.0,0.4
Hunter Haferkamp (US),5.0,5.0,0.0,5.0,5.0,5.0,0.4
Jone Wilson,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Rodney Gillespie,5.0,5.0,0.0,5.0,5.0,5.0,0.4
Dee Dee,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Mary Michael Maddox,5.0,5.0,0.0,5.0,5.0,5.0,0.4
David Battles,5.0,5.0,0.0,5.0,5.0,5.0,0.4
Evvy Lusco,5.0,5.0,0.0,5.0,5.0,5.0,0.4
Elizabeth Whitley,5.0,5.0,0.0,5.0,5.0,5.0,0.4
Ever Santana,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Mikhail Kozorovitskiy,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Cody Feltman,5.0,5.0,0.0,5.0,5.0,5.0,0.4
Victoria Mikota,1.0,1.0,0.0,1.0,1.0,1.0,0.4
Kaley Johnson,5.0,5.0,5.0,0.0,0.0,0.0,0.45
Bailey Hutchinson,5.0,5.0,5.0,5.0,5.0,0.0,0.45
Bryan Jordan,5.0,5.0,5.0,0.0,0.0,0.0,0.45
Mitchell Coe,5.0,5.0,5.0,0.0,0.0,0.0,0.45
Benjamin Keaten,5.0,5.0,5.0,0.0,0.0,0.0,0.45
rebecca Beacham,5.0,5.0,5.0,0.0,0.0,0.0,0.45
Stephanie Phillips,1.0,0.0,0.0,0.0,0.0,0.0,0.45
Maggie,5.0,5.0,5.0,0.0,0.0,0.0,0.45
ABroad Like Tara,1.0,0.0,0.0,0.0,0.0,0.0,0.45
Elizabeth,5.0,5.0,5.0,0.0,0.0,0.0,0.45
Average,2.84,2.76,0.45,2.45,2.45,1.25,0.47
